"Channel 452"	"Channel 523"	"Channel 594"	"Channel 676"	"X (pixel)"	"Y (pixel)"	"X (microns)"	"Y (microns)"	"X__1"
124	0	20464	0	641	488	69.9972	53.2896	NA
123	0	9517	0	642	487	70.1064	53.1804	NA
121	0	4566	0	642	486	70.1064	53.0712	NA
119	0	1886	0	643	485	70.2156	52.962	NA
121	0	1004	0	644	484	70.3248	52.8528	NA
122	0	1753	0	644	483	70.3248	52.7436	NA
125	189	3127	200	645	482	70.434	52.6344	NA
123	210	4393	347	645	481	70.434	52.5252	NA
122	249	15520	428	646	480	70.5432	52.416	NA
120	221	16147	478	647	479	70.6524	52.3068	NA
120	323	12514	310	647	478	70.6524	52.1976	NA
128	184	2494	0	648	477	70.7616	52.0884	NA
123	165	1811	0	648	476	70.7616	51.9792	NA
121	0	1190	0	649	475	70.8708	51.87	NA
125	0	613	0	650	474	70.98	51.7608	NA
121	0	390	0	650	473	70.98	51.6516	NA
123	0	0	0	651	472	71.0892	51.5424	NA
122	0	0	0	651	471	71.0892	51.4332	NA
123	0	256	0	652	470	71.1984	51.324	NA
121	160	257	0	653	469	71.3076	51.2148	NA
126	0	259	0	653	468	71.3076	51.1056	NA
128	174	309	0	654	467	71.4168	50.9964	NA
122	162	273	0	654	466	71.4168	50.8872	NA
124	162	243	0	655	465	71.526	50.778	NA
120	0	248	0	655	464	71.526	50.6688	"join"
121	0	274	0	656	464	71.6352	50.6688	NA
126	0	485	0	657	463	71.7444	50.5596	NA
118	0	669	0	658	462	71.8536	50.4504	NA
122	0	508	0	659	462	71.9628	50.4504	NA
122	0	692	0	660	461	72.072	50.3412	NA
120	0	415	0	661	460	72.1812	50.232	NA
118	0	391	0	662	460	72.2904	50.232	NA
0	193	448	0	663	459	72.3996	50.1228	NA
124	251	397	500	664	458	72.5088	50.0136	NA
124	190	461	442	665	458	72.618	50.0136	NA
121	0	428	331	666	457	72.7272	49.9044	NA
122	0	452	0	667	456	72.8364	49.7952	NA
128	0	853	0	668	456	72.9456	49.7952	NA
122	0	2255	0	669	455	73.0548	49.686	NA
120	0	2794	0	670	454	73.164	49.5768	NA
129	0	2297	0	671	454	73.2732	49.5768	NA
122	0	2710	0	672	453	73.3824	49.4676	NA
126	0	8756	0	673	452	73.4916	49.3584	NA
119	0	10601	342	674	452	73.6008	49.3584	NA
128	0	15100	260	675	451	73.71	49.2492	NA
125	0	16256	0	676	450	73.8192	49.14	NA
